protein_name_1,protein_name_2,protein_id_1,protein_id_2,discovery date
HDGF,HNRNPU,100375,103064,12/21/2011
HDGF,KPNA2,100375,110088,12/21/2011
HDGF,NCL,100375,113886,12/21/2011
HDGF,PRMT5,100375,108810,12/21/2011
HDGF,SSRP1,100375,106812,12/21/2011
HDGF,HIST1H2BD,100375,106423,12/21/2011
HIST1H3A; HIST1H3B; HIST1H3C; HIST1H3D; HIST1H3E; HIST1H3F; HIST1H3G; HIST1H3H; HIST1H3I; HIST1H3J,HDGF,106408,100375,12/21/2011
RPP38,HDGF,112648,100375,12/21/2011
HDGF,DEK,100375,104318,12/21/2011
DHX9,HDGF,115481,100375,12/21/2011
DDX47,HDGF,108374,100375,12/21/2011
ACTL6A,HDGF,108144,100375,12/21/2011
EIF3K,EIF3D,111216,115337,12/21/2011
H1F0,HDGF,113332,100375,12/21/2011
HDGF,MPG,100375,101236,12/21/2011
UBA52,HDGF,100799,100375,12/21/2011
HDGF,EIF2S1,100375,105854,12/21/2011
HDGF,DDX5,100375,106274,12/21/2011
HDGF,FBL,100375,110725,12/21/2011
EIF2S2,HDGF,101711,100375,12/21/2011
HDGF,PWP2,100375,103266,12/21/2011
RCC1,HDGF,107645,100375,12/21/2011
PLS3,HDGF,116191,100375,12/21/2011
HDGF,RCL1,100375,100751,12/21/2011
HDGF,CKAP4,100375,115288,12/21/2011
HDGF,TMPO,100375,114836,12/21/2011
HDGF,SUB1,100375,106700,12/21/2011
HDGF,EXOSC10,100375,101669,12/21/2011
HDGF,PSIP1,100375,111887,12/21/2011
HDGF,BAZ1B,100375,113521,12/21/2011
HDGF,RPL32,100375,114260,12/21/2011
HDGF,RPL22,100375,112169,12/21/2011
SRP68,HDGF,116131,100375,12/21/2011
RBMX,HDGF,110646,100375,12/21/2011
DHX15,HDGF,101422,100375,12/21/2011
HDGF,HNRNPA2B1,100375,116341,12/21/2011
HDGF,SRSF7,100375,101483,12/21/2011
HDGF,H1FX,100375,100107,12/21/2011
EIF3D,EIF3I,115337,110454,12/21/2011
HDGF,EBNA1BP2,100375,102434,12/21/2011
HDGF,C7ORF26,100375,116506,12/21/2011
KRT1,HDGF,116246,100375,12/21/2011
MAP4,HDGF,109790,100375,12/21/2011
XRCC5,HDGF,106516,100375,12/21/2011
C8ORF33,HDGF,105428,100375,12/21/2011
HDGF,NACA,100375,115124,12/21/2011
HDGF,HIST1H2BK,100375,108522,12/21/2011
SSB,HDGF,101554,100375,12/21/2011
HDGF,PRKDC,100375,115196,12/21/2011
HDGF,GNL3,100375,116395,12/21/2011
HDGF,RRP1B,100375,111194,12/21/2011
THOC3,HDGF,109214,100375,12/21/2011
HDGF,POLRMT,100375,106104,12/21/2011
TMPO,HDGF,110749,100375,12/21/2011
NUDC,HDGF,111274,100375,12/21/2011
HDGF,SLC25A5,100375,103281,12/21/2011
