protein_name_1,protein_name_2,protein_id_1,protein_id_2,discovery date
B4GALT1,LALBA,109330,108127,8/31/1970
KCNJ12,DLG1,107522,113241,2/1/1972
APOA1,LCAT,115004,115163,2/25/1972
RAB3IP,RAB8A,115897,103805,3/1/1975
VIP,VIPR1,114131,116418,6/1/1975
C1QB,C1QA,102077,108705,4/1/1976
C1QC,C1QC,108703,108703,4/1/1976
GGT1,GGT1,100275,100275,4/25/1976
CASP9,CASP3,115885,112941,9/1/1976
EPS8,ABI1,109511,109997,11/4/1976
CRP,CRP,108701,108701,2/1/1977
HBG2,HBA1; HBA2,100713,112594,5/5/1977
MAPK3,MAPK3,101159,101159,6/1/1977
CYB5A,CYCS,109841,113059,11/15/1977
POLR2A,ACTB,108908,112552,1/15/1979
RBP4,TTR,104308,100047,9/1/1979
SERPINF2,PLG,105588,107516,9/25/1979
KNG1,F11,100772,107749,10/1/1979
KNG1,KLKB1,100772,114402,10/1/1979
PFKM,PFKM,111696,111696,1/1/1980
PFKL,PFKM,110559,111696,1/1/1980
HBB,HP,115971,112350,1/1/1980
PFKL,PFKL,110559,110559,1/1/1980
MUT,MUT,105897,105897,4/10/1980
SERPINA1,SERPINA1,100240,100240,5/10/1980
GSK3B,GYS1,111112,112878,6/1/1980
GLDC,GLDC,100406,100406,10/1/1980
UQCRC1,CYCS,113776,113059,10/3/1980
ANK1,SLC4A1,102140,108083,12/25/1980
EPOR,PTPN6,112837,109783,5/1/1981
CYCS,CYC1,113059,111902,5/25/1981
ELN,LOX,106406,113286,6/23/1981
TNNC1,TNNI2,111500,106313,4/1/1982
FN1,C1QA,104307,108705,7/1/1982
SERPINF2,ELANE,105588,115490,8/25/1982
SERPING1,ELANE,107596,115490,8/25/1982
PRKAR2A,PRKAR2A,105508,105508,10/1/1982
APOF,APOA2,109096,102718,10/12/1982
APOF,APOA1,109096,115004,10/12/1982
MT-ND1,TST,104279,111641,1/26/1983
TNNT1,TPM1,112880,102236,2/25/1983
RPS14,RPS4X,106796,114735,4/5/1983
RPS4X,RPS6,114735,109848,4/5/1983
RPS4X,RPS8,114735,115433,4/5/1983
RPS4X,RPS17,114735,112645,4/5/1983
RPS4X,RPS5,114735,106434,4/5/1983
RPS4X,RPS10,114735,106433,4/5/1983
RPS7,RPS4X,113343,114735,4/5/1983
RPS15,RPS4X,108989,114735,4/5/1983
RPS2,RPS4X,102724,114735,4/5/1983
RPS4X,RPS21,114735,108947,4/5/1983
RPS3,RPS4X,110098,114735,4/5/1983
RPS4X,RPS13,114735,111080,4/5/1983
RPS4X,RPS9,114735,106435,4/5/1983
RPS4X,RPS18,114735,106798,4/5/1983
RPS12,RPS4X,116375,114735,4/5/1983
SERPING1,C1S,107596,113438,9/1/1983
HBA1; HBA2,HBB,112594,115971,11/25/1983
CD79A,AMBP,101369,100044,12/10/1983
CRP,FN1,108701,104307,2/10/1984
TPM1,TNNT2,102236,115807,5/1/1984
CYCS,COX4I2,113059,115088,8/25/1984
PLP1,MBP,110110,115656,10/1/1984
THBS1,PLG,109033,107516,11/1/1984
GSN,FN1,116408,104307,11/10/1984
TPM1,TPM1,102236,102236,4/1/1985
TPM2,TPM2,107222,107222,4/1/1985
TPM1,TPM2,102236,107222,4/1/1985
C8A,C9,115846,102087,8/13/1985
POLR2A,GTF2F2,108908,105393,8/25/1985
C3,ITGAX,102951,114962,10/1/1985
PRKCA,MBP,107106,115656,10/15/1985
CSNK2A1,TOP1,110721,109181,11/1/1985
CSNK2A2,TOP1,106059,109181,11/1/1985
SHBG,SHBG,103889,103889,4/1/1986
FGA,PLAT,111294,103210,7/1/1986
APCS,APCS,108700,108700,10/1/1986
APOA1,APOA2,115004,102718,11/1/1986
DGAT1,APOA2,101544,102718,11/1/1986
LCAT,APOA2,115163,102718,11/1/1986
APOD,APOA2,107458,102718,11/1/1986
APOA1,DGAT1,115004,101544,11/1/1986
APOA1,APOD,115004,107458,11/1/1986
COL1A1,VWF,105417,103887,11/15/1986
STAT3,MAP3K7,114621,112238,1/1/1987
CIR1,SRSF2,102471,116433,1/1/1987
NEU1,GLB1,100140,106793,1/2/1987
PLEC,SPTA1,116405,112468,1/25/1987
PLEC,SPTAN1,116405,108089,1/25/1987
PLEC,MAP2,116405,116169,1/25/1987
ITGA2,ITGB1,108151,101292,3/5/1987
THBS1,F2,109033,112341,4/1/1987
COL5A1,THBS1,103990,109033,5/1/1987
THBS1,COL3A1,109033,109107,5/1/1987
COL2A1,THBS1,105413,109033,5/1/1987
THBS1,COL4A1,109033,109104,5/1/1987
THBS1,COL1A1,109033,105417,5/1/1987
SERPINF2,PRSS1,105588,102245,5/5/1987
CALM1; CALM2; CALM3,CSNK2A1,102031,110721,5/11/1987
CALM1; CALM2; CALM3,SYK,102031,114134,5/11/1987
PCSK2,PCSK2,113050,113050,6/15/1987
ACADM,ACADM,106025,106025,6/15/1987
NGFR,NGF,109556,102247,8/1/1987
C5,C8B,104491,101597,9/15/1987
COL6A1,MAG,101227,116370,10/1/1987
COL4A1,MAG,109104,116370,10/1/1987
MAG,COL2A1,116370,105413,10/1/1987
COL3A1,MAG,109107,116370,10/1/1987
MAG,COL1A1,116370,105417,10/1/1987
MAG,COL9A1,116370,103968,10/1/1987
COL5A1,MAG,103990,116370,10/1/1987
SPTAN1,NEFL,108089,109486,12/15/1987
GPX3,GPX3,102104,102104,12/25/1987
TNF,TNF,116299,116299,1/20/1988
HRAS,RASA1,110859,108344,4/22/1988
MAPT,S100B,113557,103885,4/25/1988
C3,CFP,102951,110667,5/15/1988
CNN1,ACTA1,115349,111566,6/1/1988
TNNC1,CNN1,111500,115349,6/1/1988
TPM1,CNN1,102236,115349,6/1/1988
TPM3,TPM3,105691,105691,6/1/1988
CALM1; CALM2; CALM3,CNN1,102031,115349,6/1/1988
EPB42,ANK2,112738,106564,7/25/1988
F8,VWF,102446,103887,7/25/1988
RUNX1,CBFB,107201,102567,8/20/1988
CAMK2B,CAMK2B,115085,115085,9/1/1988
SPTA1,ANK1,112468,102140,10/5/1988
EEF1A1,VARS,107332,104210,10/10/1988
EEF1B2,VARS,108069,104210,10/10/1988
VARS,EEF1D,104210,104311,10/10/1988
VARS,EEF1G,104210,104211,10/10/1988
CD247,CD247,113203,113203,10/28/1988
CALM1; CALM2; CALM3,PHKB,102031,100362,12/1/1988
TNF,TNFRSF1A,116299,113149,12/15/1988
SPACA3,A2M,108188,108859,12/30/1988
GCH1,GCH1,114043,114043,1/2/1989
