protein_name_1,protein_name_2,protein_id_1,protein_id_2,discovery date
RUVBL2,C2ORF44,107631,100923,2/5/2008
PPP6R2,ANKRD28,104338,114704,2/5/2008
HMGA1,ORC1,103831,113195,2/5/2008
PPP6C,PPP6R3,103436,110313,2/5/2008
ANKRD28,PPP6R1,114704,102130,2/5/2008
ANKRD52,PPP6R1,107897,102130,2/5/2008
HMGA1,ORC2,103831,113194,2/5/2008
MYBPC2,MYBPC2,102753,102753,2/6/2008
BCAR1,MMP14,103971,114332,2/6/2008
REPS1,STON2,114668,107768,2/6/2008
CST7,CTSC,104969,102133,2/6/2008
MYBPC3,MYBPC3,116220,116220,2/6/2008
STON2,EHD1,107768,112075,2/6/2008
FLOT1,PSMD4,106411,111074,2/7/2008
PGC,CDK9,113084,106079,2/7/2008
CCNT1,PGC,108232,113084,2/7/2008
SRC,DGKA,107525,100133,2/7/2008
UBE2D1,SIAH2,114399,114743,2/8/2008
AIFM1,BAG6,107475,113717,2/8/2008
ALOX12,ALOX12,102439,102439,2/8/2008
TCF25,UBC,114360,106138,2/8/2008
ACACA,AKR1B10,107366,113189,2/8/2008
TCF25,XIAP,114360,107509,2/8/2008
PIM1,ABCG2,110258,103228,2/8/2008
PLK1,KAT7,114751,106228,2/12/2008
HDAC1,GATA2,109208,108769,2/12/2008
CREBBP,GATA2,107061,108769,2/12/2008
LDLR,PCSK9,102249,103694,2/12/2008
SET,NR3C1,112625,109148,2/13/2008
APC,ZRANB1,115867,101685,2/15/2008
HSP90AA1,PINK1,103493,104793,2/15/2008
JAG1,UBC,107174,106138,2/15/2008
PINK1,CDC37,104793,103951,2/15/2008
RNF125,UBC,103577,106138,2/15/2008
ZRANB1,UBC,101685,106138,2/15/2008
HSP90AB1,PINK1,111698,104793,2/15/2008
PPM1F,DIAPH1,112255,104163,2/15/2008
YWHAE,TPH2,103095,105190,2/15/2008
CXCR4,B2M,108167,109054,2/15/2008
ABL1,YAP1,104641,108147,2/15/2008
TP53,PARK7,114765,102895,2/15/2008
NR2F2,GATA2,114858,108769,2/19/2008
FOXO3,HIF1A,113320,102040,2/19/2008
KARS,KARS,109936,109936,2/19/2008
CHUK,SMAD3,109938,102508,2/19/2008
ITPR1,AKT1,110584,112440,2/19/2008
CHUK,SMAD2,109938,111220,2/19/2008
SMC1A,CTCF,111195,109641,2/20/2008
CDC14B,SKP2,106852,111049,2/20/2008
MAPK8IP2,VRK2,112205,111937,2/20/2008
NGEF,RAC1,106457,104701,2/20/2008
ARHGEF19,RAC1,102000,104701,2/20/2008
CDC42,NGEF,110613,106457,2/20/2008
NGEF,RHOA,106457,114365,2/20/2008
RAD21,CTCF,113188,109641,2/20/2008
VRK2,MAPK8IP1,111937,105821,2/20/2008
SLK,SLK,115011,115011,2/20/2008
DAAM1,ARHGEF19,108864,102000,2/20/2008
RAC1,RTKN,104701,114493,2/20/2008
CDH1,SKP2,101097,111049,2/20/2008
DVL1,ARHGEF19,116353,102000,2/20/2008
VRK2,MAPK8,111937,111093,2/20/2008
RHOA,ARHGEF19,114365,102000,2/20/2008
CCL20,TRAF6,110854,113106,2/20/2008
VRK2,MAP2K7,111937,113622,2/20/2008
GADD45GIP1,STAT3,113820,114621,2/20/2008
TUT1,PIP5K1A,105945,103365,2/21/2008
TJP1,VMP1,109659,101738,2/21/2008
CPSF3,TUT1,111266,105945,2/21/2008
PAPOLA,SYMPK,107289,107059,2/21/2008
SYMPK,TUT1,107059,105945,2/21/2008
CPSF3,PAPOLA,111266,107289,2/21/2008
CPSF2,PAPOLA,101267,107289,2/21/2008
SYMPK,CPSF2,107059,101267,2/21/2008
CPSF2,TUT1,101267,105945,2/21/2008
TUT1,CSTF2,105945,105227,2/21/2008
SRC,CBLL1,107525,109580,2/22/2008
SUMO1,TRAF6,101887,113106,2/22/2008
TOPORS,NKX3-1,108294,103030,2/22/2008
CDKN1A,CDC42,113330,110613,2/22/2008
APP,UBE2M,104269,102662,2/22/2008
WSB1,UBE2D3,109973,108169,2/22/2008
UBE2I,TRAF6,105209,113106,2/22/2008
