protein_name_1,protein_name_2,protein_id_1,protein_id_2,discovery date
MMS22L,MCM7,105074,106062,11/24/2010
SSRP1,MMS22L,106812,105074,11/24/2010
HIF1A,ATM,102040,115411,11/24/2010
MMS22L,MCM5,105074,106061,11/24/2010
MMS22L,ASF1B,105074,104159,11/24/2010
SSRP1,SSRP1,106812,106812,11/24/2010
STAT6,PPARG,100816,110492,11/24/2010
MCM2,MMS22L,101622,105074,11/24/2010
MMS22L,MMS22L,105074,105074,11/24/2010
WASF2,CYFIP1,102670,109764,11/25/2010
RBX1,VPRBP,105264,116293,11/26/2010
CRYAB,BCL2,107641,109222,11/26/2010
L3MBTL1,SETD8,105092,101237,11/26/2010
UBE2D2,VPRBP,104625,116293,11/26/2010
DDB1,UNG,108297,107158,11/26/2010
NPM1,FANCA,109914,110994,11/26/2010
L3MBTL1,TP53,105092,114765,11/26/2010
VPRBP,VPRBP,116293,116293,11/26/2010
VPRBP,UNG,116293,107158,11/26/2010
FANCC,NPM1,107452,109914,11/26/2010
HIF1A,DNAJB1,102040,110747,11/29/2010
MST1R,FURIN,103438,102035,11/29/2010
HIF1A,BCR,102040,112391,11/29/2010
RAD18,CDC7,110634,111255,11/29/2010
CLTA,MAD2L2,102237,103368,11/30/2010
WFIKKN1,BMP4,102203,114629,12/1/2010
WFIKKN2,BMP4,107354,114629,12/1/2010
PDLIM7,MDM2,110200,106304,12/1/2010
RPL23,MTOR,100370,103035,12/1/2010
RPL23A,RICTOR,109849,103723,12/1/2010
MTOR,RPL5,103035,111880,12/1/2010
CDC20,HSF2,104128,103305,12/1/2010
H3F3A; H3F3B,TAF6,110209,111116,12/1/2010
WFIKKN2,BMP8B,107354,111498,12/1/2010
STAT3,PGR,114621,101624,12/1/2010
RGS13,UBC,104564,106138,12/1/2010
WFIKKN2,BMP3,107354,114628,12/1/2010
RICTOR,RPL23,103723,100370,12/1/2010
MAPKAP1,RPL23,110960,100370,12/1/2010
PRTFDC1,PRTFDC1,110564,110564,12/1/2010
AIRE,HIST3H3,100382,115562,12/1/2010
SLC38A3,NEDD4,101834,108146,12/1/2010
RPS6,MAPKAP1,109848,110960,12/1/2010
BMP8B,WFIKKN1,111498,102203,12/1/2010
H3F3A; H3F3B,TAF3,110209,114974,12/1/2010
TAF5,TAF3,103706,114974,12/1/2010
BMP2,WFIKKN2,114630,107354,12/1/2010
RPS6,MTOR,109848,103035,12/1/2010
SMARCA2,CREBBP,108197,107061,12/1/2010
LRP1,FCN2,103717,115695,12/1/2010
RPS5,RICTOR,106434,103723,12/1/2010
SMARCA2,KAT2B,108197,108390,12/1/2010
TERF2,SIAH1,108067,101885,12/1/2010
MAPKAP1,RPL23A,110960,109849,12/1/2010
MBL2,LRP1,108750,103717,12/1/2010
PER3,ATM,109527,115411,12/1/2010
PHF2,HIST3H3,112392,115562,12/1/2010
RPL26,RICTOR,115870,103723,12/1/2010
WFIKKN1,BMP3,102203,114628,12/1/2010
OS9,ERLEC1,105207,109629,12/1/2010
MDM2,PA2G4,106304,109505,12/1/2010
MTOR,PRKCA,103035,107106,12/1/2010
ING2,HIST3H3,114656,115562,12/1/2010
VGLL4,IRF2BP2,105598,113842,12/1/2010
WFIKKN1,TGFB1,102203,102253,12/1/2010
ERBB2,PGR,110434,101624,12/1/2010
UBE2D3,KAT2B,108169,108390,12/1/2010
FZR1,HSF2,109668,103305,12/1/2010
XRCC6,COIL,115541,107918,12/1/2010
RPL26,MTOR,115870,103035,12/1/2010
TP53,PDLIM7,114765,110200,12/1/2010
CHEK2,PER3,108135,109527,12/1/2010
IL4R,IL4R,116087,116087,12/1/2010
RPTOR,RPS6,113565,109848,12/1/2010
RBBP8,EXO1,116309,109504,12/1/2010
CDC27,HSF2,109903,103305,12/1/2010
WFIKKN1,BMP2,102203,114630,12/1/2010
SMARCA2,STAT1,108197,100815,12/1/2010
TGFB1,WFIKKN2,102253,107354,12/1/2010
ING4,H3F3A; H3F3B,103415,110209,12/1/2010
H3F3A; H3F3B,TAF5,110209,103706,12/1/2010
SMARCA2,EP300,108197,101265,12/1/2010
IDE,CCL3,115086,115369,12/1/2010
MRE11A,RBBP8,106372,116309,12/1/2010
CCL4,IDE,101772,115086,12/1/2010
RICTOR,RPS6,103723,109848,12/1/2010
MAP3K5,TNFAIP3,108747,111292,12/1/2010
FADD,TNFAIP3,103171,111292,12/1/2010
PSMB5,RND1,101929,101201,12/1/2010
ACVR2B,GDF11,105958,102868,12/1/2010
TNFAIP3,TNFRSF1A,111292,113149,12/1/2010
COIL,XRCC5,107918,106516,12/1/2010
H3F3A; H3F3B,ING2,110209,114656,12/1/2010
MTOR,RPL23A,103035,109849,12/1/2010
H3F3A; H3F3B,PHF21A,110209,107658,12/1/2010
PRKACA,RGS13,101383,104564,12/1/2010
PINK1,PSMD1,104793,114617,12/2/2010
IRS4,PINK1,103978,104793,12/2/2010
PGAM5,PINK1,106337,104793,12/2/2010
MAP1B,PINK1,101602,104793,12/2/2010
PRKDC,PINK1,115196,104793,12/2/2010
PINK1,PSMC6,104793,113895,12/2/2010
