protein_name_1,protein_name_2,protein_id_1,protein_id_2,discovery date
CCNA1,MCM6,114114,100084,7/2/2004
PMS2,PCNA,109837,111379,7/2/2004
SNRPB,CD2BP2,114590,102301,7/2/2004
BLOC1S2,DTNBP1,115547,115334,7/2/2004
CDC6,CDKN2A,115681,108570,7/2/2004
SLC5A1,PAWR,105507,114354,7/2/2004
ORC6,MCM7,106187,106062,7/2/2004
ORC2,HAUS1,113194,108378,7/2/2004
CHEK1,CSNK2B,104416,113204,7/2/2004
CD2BP2,SYNJ1,102301,102135,7/2/2004
ORC6,MCM6,106187,100084,7/2/2004
XRCC5,TERF2,106516,108067,7/2/2004
SNRPB,CD2BP2,107659,102301,7/2/2004
CDC7,CDK4,111255,112005,7/2/2004
ATR,MCM7,105506,106062,7/6/2004
SIRT1,FOXO1,109876,110622,7/6/2004
MCM2,ATM,101622,115411,7/6/2004
MCM2,ATR,101622,105506,7/6/2004
ATRIP,MCM7,107763,106062,7/6/2004
CTDP1,CDK9,104389,106079,7/7/2004
RAD50,H2AFX,113465,113889,7/7/2004
XPO1,BACH1,111964,112083,7/7/2004
CDK9,NUFIP1,106079,110605,7/8/2004
CDK4,SMAD2,112005,111220,7/8/2004
CCNT1,NUFIP1,108232,110605,7/8/2004
CDK4,SMAD3,112005,102508,7/8/2004
NEDD8,TP53,115957,114765,7/9/2004
STK4,CNKSR1,100689,111209,7/9/2004
RUNX3,HDAC4,115127,111662,7/9/2004
UBC,RUNX3,106138,115127,7/9/2004
NEDD8,MDM2,115957,106304,7/9/2004
SMURF1,RUNX3,115101,115127,7/9/2004
FGFR1,PIK3R1,101160,105291,7/9/2004
RASSF1,CNKSR1,108193,111209,7/9/2004
TP53,UBE2M,114765,102662,7/9/2004
EP300,RUNX3,101265,115127,7/9/2004
MET,UBC,109976,106138,7/9/2004
MDM2,UBE2M,106304,102662,7/9/2004
FOXO4,SIRT1,107510,109876,7/9/2004
CNKSR1,RAF1,111209,103651,7/9/2004
STK3,CNKSR1,113740,111209,7/9/2004
FOXO3,CREBBP,113320,107061,7/9/2004
NEDD9,UBC,103217,106138,7/9/2004
NEDD9,ITCH,103217,109215,7/9/2004
SMURF2,RUNX3,104677,115127,7/9/2004
DIAPH1,PKD2,104163,100569,7/9/2004
SMAD3,ITCH,102508,109215,7/9/2004
HDAC9,RUNX3,109005,115127,7/9/2004
ACD,TERF2,104913,108067,7/15/2004
NIF3L1,YWHAQ,101437,109161,7/15/2004
LRSAM1,LRSAM1,115396,115396,7/15/2004
SIAH1,KHDRBS3,101885,107178,7/15/2004
TSG101,KIF5A,115385,110628,7/15/2004
TSG101,LRSAM1,115385,115396,7/15/2004
TSG101,ITSN1,115385,111010,7/15/2004
EGFR,STAM2,112630,113757,7/15/2004
LRSAM1,EGFR,115396,112630,7/15/2004
KLRK1,RAET1G,109597,110916,7/15/2004
ACD,POT1,104913,116342,7/15/2004
LRSAM1,UBC,115396,106138,7/15/2004
POT1,TINF2,116342,114295,7/15/2004
PTPN6,PDCD1,109783,103456,7/15/2004
PTPN11,PDCD1,110411,103456,7/15/2004
SPA17,AKAP3,104260,110717,7/16/2004
TAF1B,HIST1H4A; HIST1H4B; HIST1H4C; HIST1H4D; HIST1H4E; HIST1H4F; HIST1H4H; HIST1H4I; HIST1H4J; HIST1H4K; HIST1H4L; HIST2H4A; HIST2H4B; HIST4H4,105005,108386,7/16/2004
CBX3,HIST1H3A; HIST1H3B; HIST1H3C; HIST1H3D; HIST1H3E; HIST1H3F; HIST1H3G; HIST1H3H; HIST1H3I; HIST1H3J,113738,106408,7/16/2004
HIST2H2BE,ANP32A,107407,116065,7/16/2004
BMX,TCEB3,100935,100511,7/16/2004
IRF7,PIAS4,106829,103588,7/16/2004
TAF1A,HIST2H2BE,100008,107407,7/16/2004
BIN1,BMX,107292,100935,7/16/2004
FADD,BMX,103171,100935,7/16/2004
BHLHE40,STAT3,108064,114621,7/16/2004
HDAC1,TAF1B,109208,105005,7/16/2004
TICAM1,PIAS4,107591,103588,7/16/2004
FAS,BMX,107549,100935,7/16/2004
E2F1,EP300,105610,101265,7/16/2004
POU2F1,PBX1,103433,100032,7/16/2004
EP300,HIST2H2AC,101265,107406,7/16/2004
CXCR5,GNAO1,105603,111396,7/16/2004
KAT2B,E2F1,108390,105610,7/16/2004
TAF1B,HIST1H3A; HIST1H3B; HIST1H3C; HIST1H3D; HIST1H3E; HIST1H3F; HIST1H3G; HIST1H3H; HIST1H3I; HIST1H3J,105005,106408,7/16/2004
TRAF7,PIAS4,109168,103588,7/16/2004
MEF2A,VGLL4,106056,105598,7/16/2004
BMX,FAF1,100935,111986,7/16/2004
BMX,BMX,100935,100935,7/16/2004
TNFRSF10C,BMX,106172,100935,7/16/2004
CXCR5,GNAQ,105603,100901,7/16/2004
HIST2H2AC,TAF1B,107406,105005,7/16/2004
XRCC6,SIRT1,115541,109876,7/16/2004
EP300,HIST2H2BE,101265,107407,7/16/2004
VGLL4,TEAD1,105598,113840,7/16/2004
HIST2H2AC,ANP32A,107406,116065,7/16/2004
XRCC6,BAX,115541,101534,7/16/2004
PIAS4,IRF3,103588,114890,7/16/2004
SMARCA2,BMX,108197,100935,7/16/2004
HIST2H2BE,TAF1B,107407,105005,7/16/2004
TAF1A,HIST1H3A; HIST1H3B; HIST1H3C; HIST1H3D; HIST1H3E; HIST1H3F; HIST1H3G; HIST1H3H; HIST1H3I; HIST1H3J,100008,106408,7/16/2004
HDAC1,BMX,109208,100935,7/16/2004
GNAI2,CXCR5,115415,105603,7/16/2004
HIST2H2AC,TAF1A,107406,100008,7/16/2004
BMX,HSPA4,100935,105082,7/16/2004
CDCA8,INCENP,115225,113512,7/19/2004
KIF20A,CDC14A,113664,103982,7/19/2004
CDCA8,AURKB,115225,113472,7/19/2004
CDCA8,CDCA8,115225,115225,7/19/2004
KIF20A,AURKB,113664,113472,7/19/2004
AURKB,AURKB,113472,113472,7/19/2004
CDCA8,BIRC5,115225,107316,7/19/2004
EMX2,EIF4E,115535,114219,7/20/2004
VASN,TGFB2,112659,103351,7/20/2004
VASN,TGFB1,112659,102253,7/20/2004
AKAP13,YWHAZ,107943,111046,7/21/2004
AKAP13,YWHAB,107943,110604,7/21/2004
ARIH1,ARIH1,111678,111678,7/23/2004
DNM1,UBE2I,115659,105209,7/23/2004
GGA1,UBB,113644,106139,7/23/2004
SRSF7,NXF1,101483,111795,7/23/2004
SMAD7,BMPR1A,100789,111063,7/23/2004
FNBP1L,CDC42,103719,110613,7/23/2004
STAT6,NCOA3,100816,110073,7/23/2004
TP53,PIAS1,114765,110101,7/23/2004
TSG101,GGA1,115385,113644,7/23/2004
COPS5,TOP2A,105737,109182,7/23/2004
BRSK2,WEE1,101209,112465,7/23/2004
UBC,RABGEF1,106138,112308,7/23/2004
BRSK2,CDC25B,101209,107780,7/23/2004
UBE2D1,ARIH1,114399,111678,7/23/2004
SRSF2,NXF1,116433,111795,7/23/2004
BRSK2,CDC25C,101209,107778,7/23/2004
