paper_id	word_cited_id
35	word100
35	word1152
35	word1175
35	word1228
35	word1248
35	word1250
35	word1306
35	word141
35	word192
35	word20
35	word386
35	word465
35	word496
35	word508
35	word581
35	word639
35	word661
35	word749
35	word775
35	word866
40	word1006
40	word1076
40	word1132
40	word1139
40	word1150
40	word1171
40	word1178
40	word1223
40	word126
40	word1275
40	word1293
40	word1307
40	word293
40	word496
40	word508
40	word630
40	word730
40	word760
114	word1005
114	word1133
114	word1152
114	word1264
114	word1275
114	word1341
114	word264
114	word293
114	word332
114	word735
114	word8
114	word973
117	word100
117	word1072
117	word1172
117	word1210
117	word1329
117	word212
117	word213
117	word215
117	word238
117	word405
117	word508
117	word511
117	word595
117	word605
117	word649
117	word777
117	word778
117	word875
117	word916
117	word960
128	word1072
128	word1231
128	word1232
128	word1259
128	word1264
128	word1275
128	word1394
128	word188
128	word2
128	word213
128	word358
128	word405
128	word42
128	word465
128	word506
128	word508
128	word582
128	word636
128	word875
128	word989
130	word1129
130	word1139
130	word1178
130	word1210
130	word1231
130	word1264
130	word1267
130	word127
130	word1309
130	word133
130	word1382
130	word155
130	word204
130	word209
130	word285
130	word335
130	word337
130	word360
130	word582
130	word605
130	word774
130	word94
164	word1043
164	word1212
164	word1258
164	word1260
164	word1263
164	word1264
164	word133
164	word1339
164	word204
164	word256
164	word338
164	word381
164	word484
164	word731
164	word756
164	word759
164	word853
164	word89
164	word922
288	word100
288	word1079
288	word1132
288	word1144
288	word1178
288	word126
288	word1300
288	word1308
288	word133
288	word1350
288	word1353
288	word136
288	word1367
288	word155
288	word337
288	word442
288	word451
288	word508
288	word724
288	word730
288	word781
424	word1077
424	word1281
424	word1329
424	word1349
424	word1353
424	word1402
424	word205
424	word232
424	word261
424	word274
424	word275
424	word477
424	word508
424	word541
424	word620
424	word704
424	word736
424	word755
434	word1055
434	word1061
434	word1107
434	word1150
434	word1178
434	word1190
434	word1260
434	word1264
434	word1292
434	word1305
434	word1318
434	word183
434	word220
434	word221
434	word231
434	word506
434	word667
434	word815
434	word88
434	word898
434	word95
434	word995
463	word100
463	word1050
463	word1150
463	word1171
463	word1178
463	word1204
463	word1258
463	word1302
463	word1307
463	word1315
463	word1382
463	word1388
463	word204
463	word212
463	word60
463	word624
463	word646
463	word725
463	word730
463	word813
504	word1043
504	word1119
504	word1175
504	word1300
504	word1306
504	word1349
504	word1398
504	word1424
504	word247
504	word3
504	word465
504	word503
504	word506
504	word52
504	word637
504	word703
504	word784
504	word844
504	word936
506	word1006
506	word101
506	word1061
506	word1079
506	word1080
506	word1135
506	word1150
506	word116
506	word1349
506	word223
506	word247
506	word297
506	word40
506	word429
506	word46
506	word475
506	word5
506	word531
506	word552
506	word624
506	word65
506	word66
506	word725
506	word837
506	word934
506	word980
887	word1198
887	word1264
887	word1333
887	word764
887	word957
906	word1025
906	word1067
906	word1097
906	word124
906	word1315
906	word133
906	word1340
906	word1349
906	word1357
906	word144
906	word158
906	word20
906	word337
906	word340
906	word457
906	word469
906	word481
906	word534
906	word667
906	word757
906	word775
906	word778
910	word1075
910	word1111
910	word1178
910	word1264
910	word1267
910	word1382
910	word1423
910	word170
910	word20
910	word253
910	word298
910	word423
910	word472
910	word565
910	word587
910	word68
910	word725
910	word726
910	word82
936	word1076
936	word1209
936	word1231
936	word1259
936	word1264
936	word1309
936	word1332
936	word1343
936	word1360
936	word1391
936	word1398
936	word402
936	word46
936	word465
936	word49
936	word5
936	word503
936	word506
936	word520
936	word61
936	word727
936	word744
936	word756
940	word1072
940	word1073
940	word1132
940	word1178
940	word1210
940	word1306
940	word1349
940	word196
940	word39
940	word396
940	word55
940	word591
940	word625
940	word725
940	word750
940	word779
940	word875
941	word1132
941	word1178
941	word1204
941	word1231
941	word1264
941	word1267
941	word1287
941	word1300
941	word1326
941	word1390
941	word169
941	word177
941	word227
941	word5
941	word538
941	word55
941	word697
941	word779
941	word79
941	word83
941	word911
941	word930
941	word94
943	word1072
943	word1132
943	word1174
943	word1178
943	word1204
943	word1264
943	word1287
943	word1291
943	word1300
943	word1390
943	word169
943	word370
943	word378
943	word5
943	word538
943	word697
943	word751
